challenge   wvk     margin        se      z  stored  restored  note
chal-00499  <=14   0.00137   0.00071   1.93  False   False     pre-wvk-15
chal-00500  <=14   0.00049   0.00071   0.69  False   False     pre-wvk-15
chal-00501  <=14  -0.00040   0.00074  -0.55  False   False     pre-wvk-15
chal-00502  <=14   0.00208   0.00077   2.69  True    True      pre-wvk-15
chal-00503  <=14  -0.00022   0.00083  -0.27  False   False     pre-wvk-15
chal-00504  <=14   0.00028   0.00082   0.34  False   False     pre-wvk-15
chal-00505  <=14   0.00122   0.00081   1.50  False   False     pre-wvk-15
chal-00506  <=14   0.00101   0.00083   1.21  False   False     pre-wvk-15
chal-00507  <=14   0.00185   0.00073   2.54  False   False     pre-wvk-15
chal-00508  <=14  -0.00073   0.00086  -0.85  False   False     pre-wvk-15
chal-00509  <=14  -0.00538   0.00107  -5.02  False   False     pre-wvk-15
chal-00510  <=14  -0.00087   0.00083  -1.05  False   False     pre-wvk-15
chal-00511  <=14  -0.00069   0.00086  -0.80  False   False     pre-wvk-15
chal-00512  <=14   0.00038   0.00078   0.48  False   False     pre-wvk-15
chal-00515  <=14  -0.00041   0.00081  -0.50  False   False     pre-wvk-15
chal-00516  <=14  -0.00128   0.00092  -1.39  False   False     pre-wvk-15
chal-00517  <=14   0.00227   0.00091   2.51  True    True      pre-wvk-15
chal-00518  <=14  -0.00223   0.00088  -2.53  False   False     pre-wvk-15
chal-00519  <=14  -0.00144   0.00083  -1.73  False   False     pre-wvk-15
chal-00520  <=14   0.00056   0.00079   0.70  False   False     pre-wvk-15
chal-00521  <=14   0.00173   0.00084   2.07  False   False     pre-wvk-15
chal-00522  <=14   0.00042   0.00074   0.57  False   False     pre-wvk-15
chal-00524  <=14  -0.02254   0.00138 -16.31  False   False     pre-wvk-15
chal-00525  <=14  -0.00086   0.00083  -1.04  False   False     pre-wvk-15
chal-00526  <=14   0.00003   0.00076   0.04  False   False     pre-wvk-15
chal-00527  <=14   0.00028   0.00053   0.53  False   False     pre-wvk-15
chal-00528  <=14  -0.00135   0.00077  -1.74  False   False     pre-wvk-15
chal-00531  <=14  -0.00166   0.00081  -2.05  False   False     pre-wvk-15
chal-00533  <=14   0.00028   0.00076   0.36  False   False     pre-wvk-15
chal-00534  <=14   0.00020   0.00063   0.32  False   False     pre-wvk-15

wvk<=14 rows: 30/30 decisions reproduced bit-identically
wvk 15 rows : 0/0 agree with the stamped duel_rule_wins; under the restored rule none of them would have crowned unless marked restored=True
