chal-00637 uid   31 verdict  live +0.054 z +1.20 | two +0.065 z +1.44 ctrl -0.43 z -4.9 binds {'A': 0.5, 'R': 0.32, 'Gc': 0.19} | one +0.069 z +1.52 ctrl -0.42 z -4.8 binds {'A': 0.51, 'R': 0.33, 'Gc': 0.16} | decision same
chal-00638 uid  182 verdict  live +0.006 z +0.14 | two +0.003 z +0.08 ctrl -0.55 z -5.8 binds {'A': 0.52, 'R': 0.32, 'Gc': 0.16} | one +0.006 z +0.13 ctrl -0.55 z -5.7 binds {'A': 0.54, 'R': 0.33, 'Gc': 0.13} | decision same
chal-00639 uid  248 verdict  live -0.145 z -2.35 | two -0.155 z -2.46 ctrl -0.41 z -4.4 binds {'Gc': 0.16, 'R': 0.35, 'A': 0.49} | one -0.149 z -2.36 ctrl -0.40 z -4.3 binds {'Gc': 0.14, 'R': 0.36, 'A': 0.5} | decision same
chal-00640 uid   46 verdict  live +0.004 z +0.09 | two +0.006 z +0.14 ctrl -0.30 z -3.7 binds {'Gc': 0.17, 'A': 0.51, 'R': 0.32} | one +0.004 z +0.10 ctrl -0.29 z -3.6 binds {'Gc': 0.15, 'A': 0.52, 'R': 0.33} | decision same
chal-00641 uid   40 verdict  live +0.029 z +0.70 | two +0.030 z +0.71 ctrl -0.38 z -4.4 binds {'A': 0.51, 'R': 0.31, 'Gc': 0.18} | one +0.031 z +0.74 ctrl -0.37 z -4.4 binds {'A': 0.52, 'R': 0.33, 'Gc': 0.14} | decision same
chal-00642 uid  215 verdict  live -0.043 z -0.98 | two -0.049 z -1.09 ctrl -0.62 z -6.6 binds {'A': 0.54, 'R': 0.32, 'Gc': 0.15} | one -0.045 z -1.01 ctrl -0.60 z -6.4 binds {'A': 0.55, 'R': 0.33, 'Gc': 0.12} | decision same
chal-00643 uid   29 verdict  live +0.157 z +3.56 | two +0.165 z +3.74 ctrl -0.53 z -6.3 binds {'R': 0.39, 'A': 0.48, 'Gc': 0.13} | one +0.163 z +3.67 ctrl -0.52 z -6.2 binds {'R': 0.42, 'A': 0.5, 'Gc': 0.09} | decision same
chal-00644 uid  253 verdict  live -0.144 z -2.26 | two -0.137 z -2.13 ctrl -0.40 z -4.9 binds {'R': 0.32, 'A': 0.53, 'Gc': 0.15} | one -0.130 z -2.03 ctrl -0.39 z -4.8 binds {'R': 0.34, 'A': 0.55, 'Gc': 0.11} | decision same
chal-00645 uid  101 verdict  live -0.026 z -0.64 | two -0.025 z -0.62 ctrl -0.62 z -7.2 binds {'R': 0.32, 'Gc': 0.16, 'A': 0.52} | one -0.020 z -0.50 ctrl -0.60 z -7.0 binds {'R': 0.34, 'Gc': 0.13, 'A': 0.53} | decision same
chal-00647 uid  233 verdict  live -0.321 z -4.20 | two -0.325 z -4.24 ctrl -0.47 z -5.1 binds {'A': 0.52, 'R': 0.28, 'Gc': 0.2} | one -0.337 z -4.36 ctrl -0.48 z -5.1 binds {'A': 0.54, 'R': 0.29, 'Gc': 0.17} | decision same
chal-00648 uid   10 verdict  live -0.190 z -2.96 | two -0.183 z -2.86 ctrl -0.47 z -5.5 binds {'A': 0.52, 'R': 0.31, 'Gc': 0.17} | one -0.173 z -2.68 ctrl -0.46 z -5.4 binds {'A': 0.54, 'R': 0.33, 'Gc': 0.13} | decision same
