centered-Reason replay over 208 v4 duels (k=3, LME-mean centering; delta=0.002)

challenge   challenger               old margin   old z  W  cen margin   cen z  W chall cenR  king cenR
chal-00823  alex-drok                  -0.00023   -0.33  .     0.00004    0.13  .    0.00978    0.00985
chal-00824  Talucampe037                0.00026    0.36  .    -0.00027   -0.77  .    0.00908    0.00951
chal-00826  ammazon                    -0.00013   -0.17  .    -0.00032   -1.00  .    0.00905    0.00942
chal-00829  unconst                    -0.00029   -0.33  .    -0.00072   -1.79  .    0.00947    0.01040
chal-00831  llorite                     0.00048    0.60  .     0.00001    0.03  .    0.00905    0.00926
chal-00832  windsword8989               0.00030    0.44  .    -0.00085   -2.24  .    0.00986    0.01070
chal-00833  alex-drok                   0.00043    0.58  .    -0.00045   -1.19  .    0.00968    0.01043
chal-00839  Shatoria                   -0.00061   -0.91  .    -0.00075   -1.96  .    0.00933    0.01011
chal-00842  Attila115                   0.00022    0.32  .    -0.00040   -1.36  .    0.00848    0.00910
chal-00844  Tok331102                  -0.00976   -5.23  .     0.01281   11.69  Y    0.02286    0.01018
chal-00851  isomsom                    -0.00102   -1.37  .    -0.00044   -0.98  .    0.00882    0.00935
chal-00856  thompsville                 0.00025    0.35  .    -0.00022   -0.61  .    0.00923    0.00954
chal-00858  magicworld7                 0.00026    0.41  .     0.00047    1.34  .    0.01055    0.01010
chal-00860  unconst                     0.00005    0.07  .    -0.00151   -3.47  .    0.00958    0.01133
chal-00862  IntoLayer                   0.00019    0.27  .    -0.00066   -1.85  .    0.01001    0.01074
chal-00865  thrivepath                  0.00111    1.80  .     0.00004    0.09  .    0.01025    0.01019
chal-00866  llorite                     0.00109    1.46  .    -0.00008   -0.18  .    0.01008    0.01015
chal-00869  tammyfritz                  0.00333    3.35  Y     0.00015    0.40  .    0.01018    0.01026
chal-00873  vikingL08                   0.00129    1.21  .     0.00055    1.06  .    0.01069    0.01015
chal-00874  darius3th                  -0.00116   -1.60  .    -0.00068   -1.83  .    0.00938    0.01006
chal-00875  Sansaliu                   -0.00149   -2.35  .    -0.00017   -0.56  .    0.01003    0.01023
chal-00877  thompsville                 0.00087    1.49  .     0.00013    0.42  .    0.00951    0.00953
chal-00882  Talucampe037               -0.00264   -2.98  .     0.00003    0.07  .    0.00981    0.00977
chal-00883  thompsville                 0.00125    2.13  .     0.00040    1.43  .    0.00944    0.00886
chal-00886  unconstai                  -0.00063   -0.87  .    -0.00063   -1.46  .    0.00971    0.01035
chal-00888  pandora-box                 0.00046    0.79  .     0.00008    0.33  .    0.00992    0.00997
chal-00889  elonmasky                   0.00048    0.77  .     0.00013    0.39  .    0.00938    0.00905
