E-KINGS expanded n=15 mix Spearman=+0.845 p=7.213e-05
rank king          mix    swe
   1 II       -0.0271   37.2
   2 genesis  -0.0318   58.2
   3 I        -0.0341   38.4
   4 XCIX     -0.2736   39.8
   5 XCIV     -0.2769   36.2
   6 XI       -0.2834   33.6
   7 XLI      -0.3180   34.2
   8 VIII     -0.3186   36.2
   9 CI       -0.3463   12.4
  10 III      -0.3466   32.8
  11 V        -0.3538   32.0
  12 XLV      -0.3739   26.0
  13 XLVI     -0.3767   13.2
  14 LI       -0.3774   11.6
  15 VII      -0.3798   33.2
