S* v2 after wave-5
king        S_mix   gate   bank      r valid   swe
genesis   -0.0293    62%  0.239  1.069 True   58.2
XCIX      -0.1764    77%  0.100  2.622 True   39.8
I         -0.0369    59%  0.302  1.327 True   38.4
II        -0.0269    74%  0.300  1.172 True   37.2
VIII      -0.1845    79%  0.100  2.267 True   36.2
XCIV      -0.1795    78%  0.095  2.624 True   36.2
XLI       -0.1796    89%  0.080  3.291 True   34.2
XI        -0.1874    83%  0.075  2.401 False  33.6
XLII      -0.1792    89%  0.054  3.329 False  33.4
VII       -0.1992    82%  0.085  2.133 True   33.2
III       -0.1809    74%  0.120  2.177 True   32.8
XL        -0.1817    91%  0.095  3.330 True   32.2
C         -0.2184    85%  0.048  2.987 False  32.0
V         -0.1832    77%  0.110  2.241 True   32.0
XCVI      -0.2133    86%  0.056  2.968 False  32.0
IV        -0.1948    75%  0.100  2.343 True   29.2
XLIII     -0.1843    91%  0.075  3.391 False  28.8
XLVII     -0.2094    86%  0.075  3.617 False  28.2
IX        -0.1991    80%  0.075  2.299 False  27.8
XLIV      -0.1971    87%  0.087  3.340 True   27.6
VI        -0.1974    81%  0.087  2.052 True   27.4
XLVIII    -0.2058    86%  0.075  3.553 False  27.0
L         -0.2064    87%  0.050  3.644 False  26.8
X         -0.1896    84%  0.087  2.256 True   26.4
XLV       -0.2010    93%  0.054  3.564 False  26.0
XLIX      -0.2102    86%  0.075  3.612 False  25.6
XC        -0.1934    82%  0.075  2.259 False  16.0
XLVI      -0.2022    93%  0.054  3.551 False  13.2
CI        -0.2081    84%  0.038  3.189 False  12.4
LI        -0.2215    90%  0.049  3.397 False  11.6

ungated Spearman=+0.758 (n=30, p=1.202e-06)
hybrid  Spearman=+0.799 (n=15, p=0.0003534)
rejected: ['XI', 'XLII', 'C', 'XCVI', 'XLIII', 'XLVII', 'IX', 'XLVIII', 'L', 'XLV', 'XLIX', 'XC', 'XLVI', 'CI', 'LI']
